timestamp_utc,coin_id,price_usd,total_volume_usd,social_volume_2025_04_04
2025-04-03 21:04:54,bitcoin,82337.19466168135,44053575615.33363,2756.0
2025-04-03 22:04:26,bitcoin,82763.14038772575,43974747542.62464,2756.0
2025-04-03 23:04:50,bitcoin,82654.29602655036,40608919507.91365,2756.0
2025-04-04 00:05:40,bitcoin,83208.52796536,32092092444.8894,2756.0
2025-04-04 01:04:43,bitcoin,83029.72559074209,30294579708.361736,2756.0
2025-04-04 02:04:47,bitcoin,82676.67638736672,36932660154.353065,2756.0
2025-04-04 03:04:33,bitcoin,82870.73001816859,36108484208.3857,2756.0
2025-04-04 04:04:43,bitcoin,82793.26810143121,32604011035.78373,2756.0
2025-04-04 05:04:52,bitcoin,82709.74394735025,32784685540.304333,2756.0
2025-04-04 06:08:04,bitcoin,83155.70194321594,33439094927.153805,2756.0
2025-04-04 07:04:33,bitcoin,83064.77766424145,31722484736.03644,2756.0
2025-04-04 08:04:50,bitcoin,84003.03159736587,25975259865.24822,2756.0
2025-04-04 09:04:49,bitcoin,84375.94429798229,37319407427.940384,2756.0
2025-04-04 10:04:35,bitcoin,84613.64673947358,37409909039.35253,2756.0
2025-04-04 11:04:36,bitcoin,82548.3231829159,38789591437.493645,2756.0
2025-04-04 12:02:51,bitcoin,82701.99933626983,43376683679.57311,2756.0
2025-04-04 13:02:03,bitcoin,82809.93939073119,39273633804.04626,2756.0
2025-04-04 14:09:32,bitcoin,83238.43488678202,40595155718.21919,2756.0
2025-04-04 15:09:36,bitcoin,83111.34435575195,44740397833.26715,2756.0
2025-04-04 16:05:00,bitcoin,82881.13400156828,45767666718.51474,2756.0
2025-04-04 17:04:54,bitcoin,83345.06970919853,46534525608.73695,2756.0
2025-04-04 18:03:53,bitcoin,84430.20296834389,47400773794.68037,2756.0
2025-04-04 19:04:58,bitcoin,83881.50017713505,48675948167.99212,2756.0
2025-04-04 20:04:40,bitcoin,84003.03688086948,48685504659.56455,2756.0
2025-04-03 21:04:54,ethereum,1798.4133174894575,20379526537.48418,882.0
2025-04-03 22:04:30,ethereum,1809.3311945113203,20384430381.025948,882.0
2025-04-03 23:04:41,ethereum,1811.3080479312864,18392352463.481407,882.0
2025-04-04 00:05:42,ethereum,1816.778141222716,16717748825.13972,882.0
2025-04-04 01:04:38,ethereum,1810.2108329804785,16793420962.916777,882.0
2025-04-04 02:04:47,ethereum,1796.2549690029657,16767703678.42802,882.0
2025-04-04 03:04:39,ethereum,1790.2152033964596,16426351954.206984,882.0
2025-04-04 04:04:41,ethereum,1792.0557495471533,16549933260.046906,882.0
2025-04-04 05:03:39,ethereum,1786.304183728398,16511406062.51971,882.0
2025-04-04 06:07:57,ethereum,1804.7458060517367,16666922681.208538,882.0
2025-04-04 07:04:33,ethereum,1800.7182087305052,15968489173.302267,882.0
2025-04-04 08:04:47,ethereum,1819.26515723935,16178418532.78298,882.0
2025-04-04 09:04:32,ethereum,1827.5945877548909,16777241483.699951,882.0
2025-04-04 10:04:39,ethereum,1831.3864683139943,16757512358.979082,882.0
2025-04-04 11:04:48,ethereum,1784.5597333187225,15610053217.572653,882.0
2025-04-04 12:02:18,ethereum,1786.09764839746,17545370355.674984,882.0
2025-04-04 13:09:35,ethereum,1797.851139558754,17364035367.408348,882.0
2025-04-04 14:09:29,ethereum,1796.888925199396,16701318537.468588,882.0
2025-04-04 15:09:34,ethereum,1804.963948836221,17432988186.933037,882.0
