timestamp_utc,coin_id,price_usd,total_volume_usd
2025-05-19 21:09:50,bitcoin,105474.85779660604,47866633430.76052
2025-05-19 22:03:49,bitcoin,105370.28430321654,47833070261.19889
2025-05-19 23:02:45,bitcoin,105563.46876771093,46137705081.79079
2025-05-20 00:09:37,bitcoin,105663.20354903601,42587620690.45792
2025-05-20 01:12:29,bitcoin,105954.58937111168,41693553478.87007
2025-05-20 02:07:37,bitcoin,106518.35886707173,41859159983.007065
2025-05-20 03:04:49,bitcoin,106213.00243528716,42297716188.93094
2025-05-20 04:09:34,bitcoin,105704.92960225897,41599254636.50113
2025-05-20 05:08:33,bitcoin,106000.05837647662,40060552569.69127
2025-05-20 06:03:37,bitcoin,106180.53385959675,38192174253.754776
2025-05-20 07:03:17,bitcoin,105571.21456623028,37068885187.86016
2025-05-20 08:03:40,bitcoin,105098.96222700436,36649756623.01621
2025-05-20 09:02:23,bitcoin,105132.78539854169,36757317836.05368
2025-05-20 10:03:28,bitcoin,105335.88358591389,36614048336.277245
2025-05-20 11:03:53,bitcoin,105108.95454542089,36529935967.669235
2025-05-20 12:04:05,bitcoin,105290.92949721494,36423950906.22178
2025-05-20 13:03:37,bitcoin,104783.15991167142,35593977448.98103
2025-05-20 14:03:44,bitcoin,104387.66509118448,36022555325.091484
2025-05-20 15:03:36,bitcoin,104699.4194788197,35496643871.3033
2025-05-20 16:06:32,bitcoin,105320.90282923858,34096154596.45568
2025-05-20 17:03:32,bitcoin,105321.47853626123,32898789602.58641
2025-05-20 18:02:08,bitcoin,106214.94694946974,32513474824.26288
2025-05-20 19:03:22,bitcoin,105617.25144004321,32976575647.48056
2025-05-20 20:08:19,bitcoin,106766.70827506462,34557908337.7762
2025-05-19 21:09:51,ethereum,2521.8274378683736,30317633648.449444
2025-05-19 22:04:47,ethereum,2517.148307128567,30038920362.46596
2025-05-19 23:06:42,ethereum,2503.3632536763234,29483756355.341877
2025-05-20 00:09:00,ethereum,2530.030833562055,26069807684.276165
2025-05-20 01:12:29,ethereum,2520.400338498342,26900506148.279217
2025-05-20 02:04:57,ethereum,2539.060085876319,26620650414.499905
2025-05-20 03:04:50,ethereum,2568.5224960658747,26891262881.238956
2025-05-20 04:09:30,ethereum,2552.086398484491,25727709558.057335
2025-05-20 05:08:32,ethereum,2565.5996066733564,27067716020.83346
2025-05-20 06:03:37,ethereum,2565.173177011731,26522713541.97169
2025-05-20 07:08:09,ethereum,2544.03483430021,26410219856.1777
2025-05-20 08:03:38,ethereum,2531.92013089243,25988003616.977596
2025-05-20 09:03:53,ethereum,2531.381103717653,25737393003.436386
2025-05-20 10:03:30,ethereum,2531.288312362076,25227926780.07289
2025-05-20 11:03:54,ethereum,2515.267111753899,25445980354.17016
2025-05-20 12:04:03,ethereum,2514.696518916988,25249454962.126038
2025-05-20 13:03:38,ethereum,2490.8595777583982,25445592393.690914
2025-05-20 14:03:41,ethereum,2478.4674832257397,24180303188.69809
2025-05-20 15:03:31,ethereum,2475.3544815257487,25068718871.755695
2025-05-20 16:06:20,ethereum,2483.7599158034914,24741573643.46675
2025-05-20 17:03:32,ethereum,2478.5386942519303,24266151138.398067
2025-05-20 18:03:55,ethereum,2499.0372618997535,22931297285.827637
2025-05-20 19:03:22,ethereum,2466.085801537128,22544261060.352165
2025-05-20 20:08:20,ethereum,2494.8380772328223,22802595137.39209
2025-05-19 21:09:59,tether,1.000226085037234,84314587444.18185
2025-05-19 22:09:55,tether,1.0001792840137527,65177117875.94093
2025-05-19 23:02:50,tether,1.0002373198706767,80715667131.90463
2025-05-20 00:08:35,tether,1.0002532946143834,75396985694.18504
2025-05-20 01:08:47,tether,1.0002492449361526,73592109311.3229
2025-05-20 02:05:46,tether,1.0001176385208206,73440918564.69861
2025-05-20 03:04:57,tether,1.0001391959298496,74447389578.0731
2025-05-20 04:06:25,tether,1.0001145423265365,74171378533.15262
2025-05-20 05:08:32,tether,1.000117885030066,72435085407.90573
2025-05-20 06:03:31,tether,1.0001106480727364,57151996906.05512
2025-05-20 07:08:06,tether,1.0001996138713811,68990209127.75317
2025-05-20 08:03:27,tether,1.0001943843870624,67267417142.569626
2025-05-20 09:01:13,tether,1.0002113670283412,68863230052.70471
2025-05-20 10:03:29,tether,1.0001709694895213,68086505804.02202
2025-05-20 11:03:51,tether,1.0001786284399785,68335275656.85557
2025-05-20 12:03:59,tether,1.0002492082128585,49232617707.878525
2025-05-20 13:00:37,tether,1.0002565054382144,66222939195.58718
2025-05-20 14:03:36,tether,1.000252324335861,68905894716.21268
2025-05-20 15:03:36,tether,1.000202613177668,67911356972.18131
2025-05-20 16:05:54,tether,1.000220677317536,66645135447.09933
2025-05-20 17:03:11,tether,1.000217872863194,64143951661.89718
2025-05-20 18:03:38,tether,1.0002799815202401,41389190178.915596
2025-05-20 19:03:36,tether,1.0002389963368434,50673839853.212975
2025-05-20 20:08:18,tether,1.000321955311497,65264082541.2364
2025-05-19 21:06:53,ripple,2.3873899321932996,3407297444.2791414
2025-05-19 22:09:49,ripple,2.379232255702723,3339828718.4692516
2025-05-19 23:07:10,ripple,2.3799922368541213,3817142296.8177357
2025-05-20 00:09:16,ripple,2.38057843200709,3309004400.553629
2025-05-20 01:09:44,ripple,2.3811228436078933,3186696555.228674
2025-05-20 02:04:59,ripple,2.3978175970763065,3206515152.8193316
2025-05-20 03:04:50,ripple,2.395690978561601,3637225063.2141895
2025-05-20 04:09:34,ripple,2.3813829685321477,3216636870.7486196
2025-05-20 05:08:31,ripple,2.3836070121754234,3132375322.8328905
2025-05-20 06:03:33,ripple,2.383131346671914,3027346969.3911977
2025-05-20 07:08:15,ripple,2.3659028582890675,2900859474.5647383
2025-05-20 08:03:56,ripple,2.352536937216666,2841159338.2458916
2025-05-20 09:03:59,ripple,2.3548584063946625,2802009302.078104
2025-05-20 10:03:18,ripple,2.352182561135776,2731365095.647064
2025-05-20 11:03:54,ripple,2.3436250762984017,2724014149.3229837
2025-05-20 12:04:05,ripple,2.3481854643720284,2531585632.4144506
2025-05-20 13:03:36,ripple,2.3352488076493674,2728207840.1968384
2025-05-20 14:03:43,ripple,2.3302195323262618,2720301201.220221
2025-05-20 15:03:36,ripple,2.3339112176961527,2710953139.695824
2025-05-20 16:06:28,ripple,2.343254287359211,2667848035.116613
2025-05-20 17:00:55,ripple,2.3389528868832614,2637780625.7695336
2025-05-20 18:02:45,ripple,2.350388500090254,2611677719.2486525
2025-05-20 19:03:22,ripple,2.3308447686186766,2883829239.831912
2025-05-20 20:04:14,ripple,2.3517988507765066,2910234579.5454535
2025-05-19 21:09:59,binancecoin,649.1581937226289,920609718.0871289
2025-05-19 22:09:55,binancecoin,649.3427803930289,801777681.2409865
2025-05-19 23:03:31,binancecoin,650.8311979249322,827295987.2361668
2025-05-20 00:07:17,binancecoin,650.9674243785532,825800287.2250466
2025-05-20 01:09:49,binancecoin,649.9055642434666,805370869.3804156
2025-05-20 02:05:26,binancecoin,651.5835852270768,792088342.0417218
2025-05-20 03:04:09,binancecoin,651.4733430015197,785809048.2725134
2025-05-20 04:09:26,binancecoin,650.5430265676341,773976980.5850344
2025-05-20 05:03:36,binancecoin,650.7822616141643,763047264.0721978
2025-05-20 06:03:27,binancecoin,651.9924777785369,744471375.5882782
