timestamp_utc,coin_id,price_usd,error,total_volume_usd,hourly_increase,price-soc correlation,price-pop,predicted_social_volume
2025-05-28 00:00:00,aave,215.34033587124787,0.01353734387527075,356910325.39560026,0.00308692290306908,0.5,0.5,0.00039879343239590526
2025-05-28 01:00:00,aave,215.3411640302744,0.018525142941341985,356910325.39560026,0.000828159026456774,0.5,0.5,0.00039879343239590526
2025-05-28 02:00:00,aave,215.34359127141454,0.01569855532482109,356910325.39560026,0.002427241140175056,0.5,0.5,0.00039879343239590526
2025-05-28 03:00:00,aave,215.34581484833515,0.017329822294160253,356910325.39560026,0.002223576920554251,0.5,0.5,0.00039879343239590526
2025-05-28 04:00:00,aave,215.34030202687418,0.018500499639384358,356910325.39560026,-0.005512821460933992,0.5,0.5,0.00039879343239590526
2025-05-28 05:00:00,aave,215.34112575878422,0.016581290629155077,356910325.39560026,0.000823731910077754,0.5,0.5,0.00039879343239590526
2025-05-28 06:00:00,aave,215.34193652288516,0.01390062593302284,356910325.39560026,0.000810764100878032,0.5,0.5,0.00039879343239590526
2025-05-28 07:00:00,aave,215.34290590916962,0.014233459145709454,356910325.39560026,0.0009693862844557088,0.5,0.5,0.00039879343239590526
2025-05-28 08:00:00,aave,215.33993097240648,0.01651387172647808,356910325.39560026,-0.002974936763069991,0.5,0.5,0.00039879343239590526
2025-05-28 09:00:00,aave,215.33874771020064,0.016578273164825522,356910325.39560026,-0.0011832622059000642,0.5,0.5,0.00039879343239590526
2025-05-28 10:00:00,aave,215.34484205784645,0.018329159217156405,356910325.39560026,0.006094347645840798,0.5,0.5,0.00039879343239590526
2025-05-28 11:00:00,aave,215.34298585545454,0.014028206827363767,356910325.39560026,-0.001856202391933266,0.5,0.5,0.00039879343239590526
2025-05-28 12:00:00,aave,215.34113113786754,0.017415823279433355,356910325.39560026,-0.001854717587042387,0.5,0.5,0.00039879343239590526
2025-05-28 13:00:00,aave,215.3374432421284,0.015487665741819171,356910325.39560026,-0.0036878957390990763,0.5,0.5,0.00039879343239590526
2025-05-28 14:00:00,aave,215.34404508156615,0.013137993971652806,356910325.39560026,0.006601839437770991,0.5,0.5,0.00039879343239590526
