timestamp_utc,coin_id,price_usd,total_volume_usd,hourly_increase,price-soc correlation,price-pop
2025-05-24 22:00:00,hedera-hashgraph,0.18959054,249281672.75866216,0.0,0.0,0.0
2025-05-24 23:00:00,hedera-hashgraph,0.18959054,249281672.75866216,0.0,0.0,0.0
2025-05-24 21:00:00,hyperliquid,17.784681,84429677.50228979,-1.5258789e-05,0.0,0.0
2025-05-24 22:00:00,hyperliquid,17.780016,84429677.50228979,-0.0046653748,0.0,0.0
2025-05-24 23:00:00,hyperliquid,17.780016,84429677.50228979,0.0,0.0,0.0
2025-05-24 21:00:00,internet-computer,7.07721,75450496.35661346,-0.0008301735,0.0,0.4331711168103566
2025-05-24 22:00:00,internet-computer,7.064064,75450496.35661346,-0.013145924,0.0,0.4331711168103566
2025-05-24 23:00:00,internet-computer,7.064091,75450496.35661346,2.7179718e-05,0.0,0.4331711168103566
2025-05-24 21:00:00,jito-staked-sol,224.74573,69746949.27053331,-0.004348755,0.0,0.2040281612446618
2025-05-24 22:00:00,jito-staked-sol,224.70006,69746949.27053331,-0.045669556,0.0,0.2040281612446618
2025-05-24 23:00:00,jito-staked-sol,224.54558,69746949.27053331,-0.15447998,0.0,0.2040281612446618
2025-05-24 21:00:00,kaspa,0.099707305,108876611.05038406,7.2419643e-06,0.0,0.8721868393159079
2025-05-24 22:00:00,kaspa,0.099707305,108876611.05038406,0.0,0.0,0.8721868393159079
2025-05-24 23:00:00,kaspa,0.099707305,108876611.05038406,0.0,0.0,0.8721868393159079
2025-05-24 21:00:00,leo-token,8.411891,6881490.16375368,3.9100647e-05,0.0,0.0
2025-05-24 22:00:00,leo-token,8.411891,6881490.16375368,0.0,0.0,0.0
2025-05-24 23:00:00,leo-token,8.411891,6881490.16375368,0.0,0.0,0.0
2025-05-24 21:00:00,litecoin,107.53649,747596098.9169668,-7.6293945e-05,0.0,0.0
2025-05-24 22:00:00,litecoin,107.53649,747596098.9169668,0.0,0.0,0.0
2025-05-24 23:00:00,litecoin,107.53649,747596098.9169668,0.0,0.0,0.0
