timestamp_utc,coin_id,price_usd,total_volume_usd,social_volume_2025_04_02,sentiment_2025_04_02
2025-04-02 00:00:00,bitcoin,85151.38359873935,29670672164.87349,2485.0,211.952463269234
2025-04-02 01:00:00,bitcoin,84981.39412820044,26849289307.878853,2485.0,211.952463269234
2025-04-02 02:00:00,bitcoin,85152.65632409418,27105811148.298145,2485.0,211.952463269234
2025-04-02 03:00:00,bitcoin,84728.41789937182,29470375236.418343,2485.0,211.952463269234
2025-04-02 04:00:00,bitcoin,84650.3303317548,29771176229.10041,2485.0,211.952463269234
2025-04-02 05:00:00,bitcoin,84580.70592294853,30071782497.63079,2485.0,211.952463269234
2025-04-02 06:00:00,bitcoin,84083.22112364328,27348459019.06654,2485.0,211.952463269234
2025-04-02 07:00:00,bitcoin,84126.51474147492,30454259461.216843,2485.0,211.952463269234
2025-04-02 08:00:00,bitcoin,84416.00027025993,27710852493.3641,2485.0,211.952463269234
2025-04-02 09:00:00,bitcoin,84665.33194165595,27188182151.94643,2485.0,211.952463269234
2025-04-02 10:00:00,bitcoin,85021.65957232645,28301420685.726868,2485.0,211.952463269234
2025-04-02 11:00:00,bitcoin,84844.77000604966,29580552850.53757,2485.0,211.952463269234
2025-04-02 12:00:00,bitcoin,84597.15150833085,27853571978.93522,2485.0,211.952463269234
2025-04-02 13:00:00,bitcoin,84938.61029698861,29202908702.90064,2485.0,211.952463269234
2025-04-02 14:00:00,bitcoin,85461.5657413444,30699382150.49999,2485.0,211.952463269234
2025-04-02 15:00:00,bitcoin,86036.13444049208,27512255878.85589,2485.0,211.952463269234
2025-04-02 16:00:00,bitcoin,86617.24415685238,27171501037.532825,2485.0,211.952463269234
2025-04-02 17:00:00,bitcoin,87106.00781966242,32926776948.43761,2485.0,211.952463269234
2025-04-02 18:00:00,bitcoin,86612.92096605808,34221437172.359905,2485.0,211.952463269234
2025-04-02 19:00:00,bitcoin,86317.97978903714,34186846761.148643,2485.0,211.952463269234
2025-04-02 20:00:00,bitcoin,86317.97978903714,34186846761.148643,2485.0,211.952463269234
2025-04-02 21:00:00,bitcoin,86317.97978903714,34186846761.148643,2485.0,211.952463269234
2025-04-02 22:00:00,bitcoin,86317.97978903714,34186846761.148643,2485.0,211.952463269234
2025-04-02 23:00:00,bitcoin,86317.97978903714,34186846761.148643,2485.0,211.952463269234
2025-04-02 00:00:00,ethereum,1905.223308697589,16005037424.423508,1032.0,58.183438360691
2025-04-02 01:00:00,ethereum,1890.2107077969893,15725691073.294182,1032.0,58.183438360691
2025-04-02 02:00:00,ethereum,1892.783323179335,14490315977.408386,1032.0,58.183438360691
2025-04-02 03:00:00,ethereum,1879.444750400493,15979628023.911434,1032.0,58.183438360691
